Bot,TP_mult,SL_mult,TP_pct,SL_pct,Leverage,PF,Return,MDD,WR,Sharpe,Trades,AvgHold_d
surge,1.4,1.0,7.0,2.0,10,2.12,1934.4,-52.9,41.2,0.99,279,1.2
surge,1.4,1.0,7.0,2.0,15,2.12,2931.3,-63.3,41.2,1.0,279,1.2
surge,1.4,1.0,7.0,2.0,20,2.12,3921.1,-65.7,41.2,1.02,279,1.2
surge,1.4,1.2,7.0,2.4,3,1.81,447.5,-28.9,41.6,0.83,279,1.3
surge,1.4,1.2,7.0,2.4,5,1.81,787.0,-40.3,41.6,0.89,279,1.3
surge,1.4,1.2,7.0,2.4,7,1.82,1129.7,-41.8,41.6,0.92,279,1.3
surge,1.4,1.2,7.0,2.4,10,1.82,1643.8,-52.9,41.6,0.94,279,1.3
surge,1.4,1.2,7.0,2.4,15,1.82,2494.8,-67.0,41.6,0.98,279,1.3
surge,1.4,1.2,7.0,2.4,20,1.82,3333.3,-75.5,41.6,1.0,279,1.3
surge,1.4,1.4,7.0,2.8,3,1.62,371.2,-32.0,42.3,0.75,279,1.3
surge,1.4,1.4,7.0,2.8,5,1.62,667.8,-44.7,42.3,0.83,279,1.3
surge,1.4,1.4,7.0,2.8,7,1.62,965.0,-49.1,42.3,0.87,279,1.3
surge,1.4,1.4,7.0,2.8,10,1.62,1402.3,-52.9,42.3,0.91,279,1.3
surge,1.4,1.4,7.0,2.8,15,1.62,2125.6,-67.0,42.3,0.97,279,1.3
surge,1.4,1.4,7.0,2.8,20,1.62,2832.3,-77.7,42.3,1.02,279,1.3
meanrevert,0.6,0.6,3.6,1.8,3,3.5,1880.6,-32.5,67.7,1.16,838,1.0
meanrevert,0.6,0.6,3.6,1.8,5,3.5,3246.5,-50.8,67.7,1.07,838,1.0
meanrevert,0.6,0.6,3.6,1.8,7,3.51,4611.7,-48.3,67.7,1.11,838,1.0
meanrevert,0.6,0.6,3.6,1.8,10,3.5,6658.3,-48.2,67.7,1.11,838,1.0
meanrevert,0.6,0.6,3.6,1.8,15,3.51,10074.5,-51.9,67.7,1.09,838,1.0
meanrevert,0.6,0.6,3.6,1.8,20,3.52,13488.6,-58.1,67.7,1.02,838,1.0
meanrevert,0.6,0.8,3.6,2.4,3,2.7,1635.4,-32.5,67.7,1.09,838,1.0
meanrevert,0.6,0.8,3.6,2.4,5,2.7,2837.9,-53.5,67.7,1.01,838,1.0
meanrevert,0.6,0.8,3.6,2.4,7,2.7,4040.0,-54.8,67.7,1.04,838,1.0
meanrevert,0.6,0.8,3.6,2.4,10,2.7,5839.6,-52.8,67.7,1.07,838,1.0
meanrevert,0.6,0.8,3.6,2.4,15,2.7,8848.7,-63.8,67.7,1.06,838,1.0
meanrevert,0.6,0.8,3.6,2.4,20,2.71,11856.5,-61.4,67.7,1.02,838,1.0
meanrevert,0.6,1.0,3.6,3.0,3,2.24,1420.0,-32.5,68.1,1.03,836,1.0
meanrevert,0.6,1.0,3.6,3.0,5,2.24,2478.2,-53.5,68.1,0.98,836,1.0
meanrevert,0.6,1.0,3.6,3.0,7,2.24,3537.0,-63.3,68.1,0.96,836,1.0
meanrevert,0.6,1.0,3.6,3.0,10,2.24,5121.5,-60.6,68.1,1.02,836,1.0
meanrevert,0.6,1.0,3.6,3.0,15,2.24,7758.2,-70.8,68.1,1.03,836,1.0
meanrevert,0.6,1.0,3.6,3.0,20,2.24,10410.7,-76.6,68.1,1.02,836,1.0
meanrevert,0.6,1.2,3.6,3.6,3,1.91,1193.0,-32.5,68.3,0.96,833,1.0
meanrevert,0.6,1.2,3.6,3.6,5,1.91,2102.2,-53.5,68.3,0.95,833,1.0
meanrevert,0.6,1.2,3.6,3.6,7,1.91,3010.4,-74.0,68.3,0.86,833,1.0
meanrevert,0.6,1.2,3.6,3.6,10,1.91,4371.0,-71.7,68.3,0.94,833,1.0
meanrevert,0.6,1.2,3.6,3.6,15,1.91,6621.2,-74.7,68.3,1.02,833,1.0
meanrevert,0.6,1.2,3.6,3.6,20,1.91,8871.3,-87.3,68.3,1.0,833,1.0
meanrevert,0.6,1.4,3.6,4.2,3,1.66,966.2,-32.5,68.5,0.89,831,1.0
meanrevert,0.6,1.4,3.6,4.2,5,1.66,1723.5,-53.5,68.5,0.92,831,1.0
meanrevert,0.6,1.4,3.6,4.2,7,1.65,2479.3,-74.0,68.5,0.87,831,1.0
meanrevert,0.6,1.4,3.6,4.2,10,1.66,3617.0,-83.2,68.5,0.82,831,1.0
meanrevert,0.6,1.4,3.6,4.2,15,1.66,5495.0,-80.8,68.5,0.95,831,1.0
meanrevert,0.6,1.4,3.6,4.2,20,1.66,7358.8,-89.5,68.5,1.01,831,1.0
meanrevert,0.8,0.6,4.8,1.8,3,4.0,2575.2,-32.2,63.9,1.35,834,1.0
meanrevert,0.8,0.6,4.8,1.8,5,4.01,4404.2,-36.2,63.9,1.33,834,1.0
meanrevert,0.8,0.6,4.8,1.8,7,4.01,6232.4,-34.9,63.9,1.31,834,1.0
meanrevert,0.8,0.6,4.8,1.8,10,4.02,8977.7,-35.9,63.9,1.28,834,1.0
meanrevert,0.8,0.6,4.8,1.8,15,4.03,13545.8,-41.6,63.9,1.18,834,1.0
meanrevert,0.8,0.6,4.8,1.8,20,4.04,18113.3,-55.3,63.9,1.01,834,1.0
meanrevert,0.8,0.8,4.8,2.4,3,3.13,2326.1,-32.2,64.3,1.29,831,1.0
meanrevert,0.8,0.8,4.8,2.4,5,3.14,3989.3,-40.2,64.3,1.25,831,1.0
meanrevert,0.8,0.8,4.8,2.4,7,3.14,5650.8,-38.6,64.3,1.25,831,1.0
meanrevert,0.8,0.8,4.8,2.4,10,3.14,8147.8,-42.8,64.3,1.22,831,1.0
meanrevert,0.8,0.8,4.8,2.4,15,3.15,12300.6,-41.8,64.3,1.15,831,1.0
meanrevert,0.8,0.8,4.8,2.4,20,3.16,16450.8,-55.3,64.3,1.0,831,1.0
meanrevert,0.8,1.0,4.8,3.0,3,2.59,2090.3,-32.2,64.7,1.23,829,1.0
meanrevert,0.8,1.0,4.8,3.0,5,2.6,3596.0,-45.3,64.7,1.15,829,1.0
meanrevert,0.8,1.0,4.8,3.0,7,2.6,5101.1,-43.2,64.7,1.18,829,1.0
meanrevert,0.8,1.0,4.8,3.0,10,2.6,7361.4,-50.5,64.7,1.16,829,1.0
meanrevert,0.8,1.0,4.8,3.0,15,2.61,11123.1,-48.9,64.7,1.11,829,1.0
meanrevert,0.8,1.0,4.8,3.0,20,2.61,14878.2,-57.6,64.7,1.0,829,1.0
meanrevert,0.8,1.2,4.8,3.6,3,2.22,1853.7,-32.2,65.0,1.17,824,1.0
meanrevert,0.8,1.2,4.8,3.6,5,2.23,3202.4,-51.7,65.0,1.06,824,1.0
meanrevert,0.8,1.2,4.8,3.6,7,2.23,4549.6,-49.1,65.0,1.11,824,1.0
meanrevert,0.8,1.2,4.8,3.6,10,2.23,6569.0,-54.1,65.0,1.11,824,1.0
meanrevert,0.8,1.2,4.8,3.6,15,2.23,9943.7,-58.0,65.0,1.08,824,1.0
meanrevert,0.8,1.2,4.8,3.6,20,2.24,13302.9,-64.5,65.0,1.0,824,1.0
meanrevert,0.8,1.4,4.8,4.2,3,1.95,1625.8,-32.2,65.4,1.1,823,1.0
meanrevert,0.8,1.4,4.8,4.2,5,1.95,2821.6,-53.1,65.4,1.01,823,1.0
meanrevert,0.8,1.4,4.8,4.2,7,1.95,4019.3,-56.9,65.4,1.03,823,1.0
meanrevert,0.8,1.4,4.8,4.2,10,1.96,5806.2,-57.0,65.4,1.06,823,1.0
meanrevert,0.8,1.4,4.8,4.2,15,1.96,8805.0,-69.7,65.4,1.05,823,1.0
meanrevert,0.8,1.4,4.8,4.2,20,1.96,11789.2,-70.3,65.4,1.01,823,1.0
meanrevert,1.0,0.6,6.0,1.8,3,4.08,2990.8,-31.8,58.6,1.42,827,1.0
meanrevert,1.0,0.6,6.0,1.8,5,4.08,5097.2,-35.7,58.6,1.39,827,1.0
meanrevert,1.0,0.6,6.0,1.8,7,4.07,7202.4,-34.4,58.6,1.35,827,1.0
meanrevert,1.0,0.6,6.0,1.8,10,4.08,10363.1,-35.2,58.6,1.31,827,1.0
meanrevert,1.0,0.6,6.0,1.8,15,4.08,15627.6,-46.7,58.6,1.19,827,1.0
meanrevert,1.0,0.6,6.0,1.8,20,4.09,20888.1,-57.9,58.6,1.01,827,1.0
meanrevert,1.0,0.8,6.0,2.4,3,3.2,2705.3,-31.8,59.1,1.36,821,1.1
meanrevert,1.0,0.8,6.0,2.4,5,3.19,4622.3,-40.1,59.1,1.29,821,1.1
meanrevert,1.0,0.8,6.0,2.4,7,3.19,6536.4,-38.6,59.1,1.29,821,1.1
meanrevert,1.0,0.8,6.0,2.4,10,3.19,9413.9,-42.0,59.1,1.24,821,1.1
meanrevert,1.0,0.8,6.0,2.4,15,3.19,14203.6,-47.2,59.1,1.16,821,1.1
meanrevert,1.0,0.8,6.0,2.4,20,3.2,18988.8,-58.6,59.1,1.0,821,1.1
meanrevert,1.0,1.0,6.0,3.0,3,2.67,2448.2,-31.8,59.6,1.3,817,1.1
meanrevert,1.0,1.0,6.0,3.0,5,2.66,4193.0,-46.5,59.6,1.18,817,1.1
meanrevert,1.0,1.0,6.0,3.0,7,2.66,5936.9,-44.3,59.6,1.21,817,1.1
meanrevert,1.0,1.0,6.0,3.0,10,2.65,8550.6,-50.4,59.6,1.17,817,1.1
meanrevert,1.0,1.0,6.0,3.0,15,2.66,12913.3,-50.2,59.6,1.12,817,1.1
meanrevert,1.0,1.0,6.0,3.0,20,2.66,17273.1,-61.7,59.6,1.01,817,1.1
meanrevert,1.0,1.2,6.0,3.6,3,2.27,2156.5,-31.8,59.9,1.23,812,1.1
meanrevert,1.0,1.2,6.0,3.6,5,2.26,3707.0,-52.7,59.9,1.07,812,1.1
meanrevert,1.0,1.2,6.0,3.6,7,2.26,5259.1,-52.3,59.9,1.11,812,1.1
meanrevert,1.0,1.2,6.0,3.6,10,2.26,7576.7,-55.0,59.9,1.12,812,1.1
meanrevert,1.0,1.2,6.0,3.6,15,2.26,11458.6,-63.5,59.9,1.08,812,1.1
meanrevert,1.0,1.2,6.0,3.6,20,2.26,15335.0,-67.3,59.9,1.02,812,1.1
meanrevert,1.0,1.4,6.0,4.2,3,2.01,1917.1,-31.8,60.4,1.17,808,1.1
meanrevert,1.0,1.4,6.0,4.2,5,2.0,3302.9,-52.7,60.4,1.04,808,1.1
meanrevert,1.0,1.4,6.0,4.2,7,2.0,4699.7,-61.9,60.4,1.0,808,1.1
meanrevert,1.0,1.4,6.0,4.2,10,2.0,6779.5,-59.5,60.4,1.06,808,1.1
meanrevert,1.0,1.4,6.0,4.2,15,1.99,10238.2,-75.6,60.4,1.06,808,1.1
meanrevert,1.0,1.4,6.0,4.2,20,1.99,13714.0,-83.7,60.4,0.99,808,1.1
meanrevert,1.2,0.6,7.2,1.8,3,4.09,3319.2,-31.5,54.1,1.49,819,1.1
meanrevert,1.2,0.6,7.2,1.8,5,4.09,5644.0,-33.4,54.1,1.47,819,1.1
meanrevert,1.2,0.6,7.2,1.8,7,4.08,7969.7,-32.2,54.1,1.41,819,1.1
meanrevert,1.2,0.6,7.2,1.8,10,4.09,11457.0,-33.5,54.1,1.36,819,1.1
meanrevert,1.2,0.6,7.2,1.8,15,4.09,17268.7,-46.7,54.1,1.2,819,1.1
meanrevert,1.2,0.6,7.2,1.8,20,4.1,23075.4,-57.9,54.1,1.0,819,1.1
meanrevert,1.2,0.8,7.2,2.4,3,3.25,3045.9,-31.5,54.9,1.43,813,1.1
meanrevert,1.2,0.8,7.2,2.4,5,3.25,5189.7,-38.0,54.9,1.36,813,1.1
meanrevert,1.2,0.8,7.2,2.4,7,3.24,7331.5,-36.5,54.9,1.33,813,1.1
meanrevert,1.2,0.8,7.2,2.4,10,3.24,10549.3,-35.3,54.9,1.3,813,1.1
meanrevert,1.2,0.8,7.2,2.4,15,3.25,15906.4,-47.2,54.9,1.18,813,1.1
meanrevert,1.2,0.8,7.2,2.4,20,3.25,21257.9,-58.6,54.9,0.99,813,1.1
meanrevert,1.2,1.0,7.2,3.0,3,2.71,2766.1,-31.5,55.4,1.38,808,1.1
meanrevert,1.2,1.0,7.2,3.0,5,2.71,4728.7,-41.8,55.4,1.28,808,1.1
meanrevert,1.2,1.0,7.2,3.0,7,2.7,6685.3,-40.1,55.4,1.27,808,1.1
meanrevert,1.2,1.0,7.2,3.0,10,2.7,9627.6,-43.2,55.4,1.23,808,1.1
