id,portfolio_id,mode,bot_name,symbol,side,leverage,amount,entry_price,entry_time,exit_price,exit_time,tp_price,sl_price,funding_rate,status,exit_reason,pnl_pct,pnl_amount,fee_amount,exchange_order_id,metadata,created_at,trade_serial
183,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,50505.05050505051,0.00198,2026-03-15T03:19:36.354696,0.0020394000000000002,2026-03-15T03:44:05.078750,0.0020394000000000002,0.0019602,,closed,TP,2.78,2.78,0.22,,,2026-03-14 18:19:36,
184,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,49875.31172069826,0.002005,2026-03-15T03:24:13.248895,0.0019849499999999996,2026-03-15T03:36:55.513368,0.00206515,0.0019849499999999996,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 18:24:13,
185,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,49875.31172069826,0.002005,2026-03-15T03:24:14.228180,0.0019849499999999996,2026-03-15T03:36:55.522035,0.00206515,0.0019849499999999996,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 18:24:14,
186,,paper,levburn_sec_scalp_micro_lev3,COS_USDT,long,3.0,49875.31172069826,0.002005,2026-03-15T03:24:14.719705,0.00200099,2026-03-15T03:25:13.929018,0.0020150249999999997,0.00200099,,closed,SL,-1.26,-1.26,0.22,,,2026-03-14 18:24:14,
187,,paper,levburn_sec_scalp_micro,COS_USDT,long,20.0,49504.9504950495,0.00202,2026-03-15T03:33:06.542706,0.0020159600000000002,2026-03-15T03:34:28.318078,0.0020301,0.0020159600000000002,,closed,SL,-8.4,-8.4,0.22,,,2026-03-14 18:33:06,
188,,paper,levburn_sec_scalp_micro_lev1,COS_USDT,long,1.0,49504.9504950495,0.00202,2026-03-15T03:33:07.531497,0.0020159600000000002,2026-03-15T03:34:28.328077,0.0020301,0.0020159600000000002,,closed,SL,-0.42,-0.42,0.22,,,2026-03-14 18:33:07,
189,,paper,levburn_sec_scalp_micro_lev3,COS_USDT,long,3.0,49285.36224741252,0.002029,2026-03-15T03:33:18.020804,0.002024942,2026-03-15T03:34:28.337687,0.0020391449999999996,0.002024942,,closed,SL,-1.26,-1.26,0.22,,,2026-03-14 18:33:18,
190,,paper,levburn_sec_scalp_micro,COS_USDT,long,20.0,50050.05005005004,0.001998,2026-03-15T03:35:54.329001,0.001994004,2026-03-15T03:36:55.531000,0.00200799,0.001994004,,closed,SL,-8.4,-8.4,0.22,,,2026-03-14 18:35:54,
191,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,48947.62604013705,0.002043,2026-03-15T03:41:21.221762,0.00202257,2026-03-15T03:41:43.347999,0.00210429,0.00202257,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 18:41:21,
192,,paper,levburn_sec_aggressive_lev3,COS_USDT,long,3.0,48947.62604013705,0.002043,2026-03-15T03:41:22.218876,0.00202257,2026-03-15T03:41:43.357501,0.00210429,0.00202257,,closed,SL,-3.66,-3.66,0.22,,,2026-03-14 18:41:22,
193,,paper,levburn_sec_fr_extreme_lev3,COS_USDT,long,3.0,146842.87812041116,0.002043,2026-03-15T03:41:22.669399,0.002026656,2026-03-15T03:41:43.368015,0.0020838600000000003,0.002026656,,closed,SL,-3.06,-9.18,0.66,,,2026-03-14 18:41:22,
194,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,1393.5340022296543,0.07176,2026-03-15T03:41:28.179771,0.0710424,2026-03-15T04:55:33.425472,0.0739128,0.0710424,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 18:41:28,
195,,paper,levburn_sec,COS_USDT,long,10.0,97087.37864077669,0.00206,2026-03-15T03:41:49.273340,0.0020497000000000002,2026-03-15T03:50:10.774861,0.0020909,0.0020497000000000002,,closed,SL,-7.2,-14.4,0.44,,,2026-03-14 18:41:49,
196,,paper,levburn_sec_aggressive,COS_USDT,long,7.0,49975.01249375312,0.002001,2026-03-15T03:52:31.122343,0.00198099,2026-03-15T04:32:39.822910,0.00206103,0.00198099,,closed,SL,-8.54,-8.54,0.22,,,2026-03-14 18:52:31,
197,,paper,levburn_sec_aggressive_lev1,COS_USDT,long,1.0,49751.24378109453,0.00201,2026-03-15T03:52:32.094182,0.0019899,2026-03-15T04:32:39.834010,0.0020703,0.0019899,,closed,SL,-1.22,-1.22,0.22,,,2026-03-14 18:52:32,
198,,paper,levburn_sec_fr_extreme_lev1,COS_USDT,long,1.0,149253.73134328358,0.00201,2026-03-15T03:52:32.562368,0.00199392,2026-03-15T04:06:25.832158,0.0020502000000000003,0.00199392,,closed,SL,-1.02,-3.06,0.66,,,2026-03-14 18:52:32,
